id_point_eau,date_releve,departement,commune,latitude,longitude,altitude_m,annee_construction,type_ouvrage,type_pompe,profondeur_forage_m,niveau_statique_m,debit_essai_m3_h,qualite_eau,nb_menages,population_desservie,distance_village_m,nb_points_eau_village,mode_gestion,mode_paiement,cotisation_mensuelle_fcfa,technicien_forme_village,stock_pieces_rechange_commune,distance_atelier_km,maitre_ouvrage,installateur,nb_pannes_12_mois,mois_depuis_derniere_maintenance,nb_jours_arret_12_mois,intervention_prevue,cout_reparation_estime_fcfa,etat_fonctionnement
PE-001236,2025-04-22,Couffo,Toviklin,6.54294,1.85366,250.7,2012,Puits traditionnel ameliore,Aucune (puisage manuel),5.0,1.3,3.74,Turbide,44.0,268,650.0,5,Comite de gestion villageois,Au volume,190.0,0,0,30.8,Etat,ENT-011,0,17.0,0.0,Aucune,0.0,fonctionnel
PE-010576,2025-08-14,Collines,Save,8.34868,2.1644,239.7,1995,Puits moderne,Aucune (puisage manuel),22.4,10.9,2.73,Potable,122.0,739,300.0,3,Delegataire prive,Au volume,310.0,0,1,43.1,Etat,ENT-027,2,9.0,7.0,Aucune,0.0,fonctionnel
PE-003572,2025-02-09,Couffo,Djakotomey,7.28812,2.38129,105.0,1983,Puits traditionnel ameliore,Aucune (puisage manuel),37.1,1.6,8.91,Potable,92.0,482,190.0,3,Comite de gestion villageois,Cotisation annuelle,520.0,0,1,19.6,Commune,ENT-005,2,34.0,67.0,Remplacement de pompe,422000.0,en panne
PE-010792,2025-06-12,Atlantique,Kpomasse,6.8696,2.21517,114.8,1988,Poste d'eau autonome,Immergee solaire,48.7,14.6,1.14,Ferrugineuse,207.0,1246,220.0,2,Comite de gestion villageois,Cotisation annuelle,920.0,0,0,21.2,Commune,ENT-050,3,18.0,187.0,Rehabilitation lourde,1059000.0,en panne
PE-005092,2025-11-08,Alibori,Gogounou,11.27167,2.99885,287.1,2021,Forage equipe PMH,India Mark II,67.7,18.9,0.67,Potable,108.0,463,1310.0,4,Comite de gestion villageois,Cotisation annuelle,470.0,0,0,4.0,Etat,ENT-045,1,9.0,2.0,Aucune,0.0,fonctionnel
PE-008249,2025-09-29,Zou,Ouinhi,7.22239,2.40993,209.4,1986,Poste d'eau autonome,Immergee electrique,69.0,46.4,2.13,Potable,158.0,632,180.0,1,Comite de gestion villageois,Au volume,420.0,1,0,6.8,Commune,ENT-051,0,,5.0,Aucune,0.0,fonctionnel
PE-002856,2025-07-05,Mono,Lokossa,6.08462,1.74271,116.7,2011,Adduction d'eau villageoise,Immergee solaire,55.1,,3.94,Saumatre,144.0,825,140.0,3,Delegataire prive,Au volume,50.0,0,1,40.9,Commune,ENT-014,1,36.0,84.0,Remplacement de pompe,669000.0,en panne
PE-003080,2025-01-10,Mono,Bopa,7.59937,1.83672,140.5,1985,Forage equipe PMH,Kardia,65.3,21.2,1.43,Potable,32.0,200,300.0,2,Comite de gestion villageois,Au volume,1050.0,0,1,27.7,Commune,ENT-030,1,9.0,85.0,Rehabilitation lourde,1651000.0,en panne
PE-008299,2025-05-26,Zou,Bohicon,6.83683,2.00507,162.1,2017,Puits traditionnel ameliore,Aucune (puisage manuel),21.9,6.9,4.77,Potable,40.0,295,470.0,3,Delegataire prive,Au volume,440.0,0,1,17.0,Commune,ENT-051,1,,5.0,Aucune,0.0,fonctionnel
PE-009955,2025-07-07,Borgou,Tchaourou,9.62162,3.22563,254.0,2015,Forage equipe PMH,India Mark II,59.6,23.6,3.24,Potable,115.0,772,1350.0,5,Delegataire prive,Au volume,210.0,1,1,52.6,ONG internationale,ENT-046,2,4.0,1.0,Aucune,0.0,fonctionnel
PE-004870,2025-06-29,Atlantique,Tori-Bossito,6.88173,2.09957,93.9,2013,Puits traditionnel ameliore,Aucune (puisage manuel),6.0,1.8,2.62,Potable,25.0,142,360.0,5,Aucune gestion formelle,Gratuit,0.0,1,0,22.6,Commune,ENT-029,0,10.0,1.0,Aucune,0.0,fonctionnel
PE-005890,2025-08-08,Plateau,Adja-Ouere,7.44854,2.91559,232.1,1982,Forage equipe PMH,Vergnet,72.2,,2.34,Potable,,363,1350.0,4,Comite de gestion villageois,Au volume,410.0,0,0,41.1,Cooperation bilaterale,ENT-030,6,18.0,186.0,Remplacement de pompe,1454000.0,en panne
PE-002688,2025-08-24,Oueme,Bonou,6.50066,2.71249,56.8,2020,Puits moderne,India Mark II,6.8,1.9,1.39,Saumatre,35.0,154,550.0,4,Aucune gestion formelle,Gratuit,0.0,0,0,44.8,Commune,ENT-030,0,36.0,3.0,Aucune,0.0,fonctionnel
PE-010538,2025-05-15,Borgou,Kalale,9.64935,2.93685,261.5,2008,Forage equipe PMH,Vergnet,56.1,13.7,1.74,Saumatre,95.0,727,330.0,2,Delegataire prive,Forfait mensuel,1880.0,1,0,11.3,Commune,ENT-038,0,23.0,3.0,Aucune,0.0,fonctionnel
PE-005184,2025-05-31,Alibori,Segbana,11.4112,3.04095,386.8,2000,Adduction d'eau villageoise,Immergee solaire,3180.0,11.7,2.35,Potable,22.0,88,360.0,1,Comite de gestion villageois,Au volume,890.0,0,0,67.3,Cooperation bilaterale,ENT-004,1,37.0,1.0,Aucune,0.0,fonctionnel
PE-002023,2025-10-24,Zou,Za-Kpota,7.33352,1.52514,265.0,1984,Forage equipe PMH,Vergnet,54.0,5.3,2.1,Potable,61.0,378,1590.0,4,Aucune gestion formelle,Gratuit,0.0,0,0,14.1,Commune,ENT-036,1,15.0,199.0,Rehabilitation lourde,921000.0,en panne
PE-001991,2025-09-17,Borgou,Kalale,9.70196,2.57537,123.7,2003,Forage equipe PMH,Kardia,40.8,13.7,9.32,Potable,,132,220.0,4,Comite de gestion villageois,Gratuit,0.0,0,1,18.2,Etat,ENT-032,6,,110.0,Abandon,422000.0,en panne
PE-000926,2025-06-03,Couffo,Dogbo,7.33992,2.34663,45.0,2012,Puits moderne,Aucune (puisage manuel),16.9,5.9,2.17,,63.0,311,110.0,1,Comite de gestion villageois,Cotisation annuelle,210.0,0,1,13.3,Etat,ENT-031,2,12.0,5.0,Aucune,0.0,fonctionnel
PE-005117,2025-05-30,Collines,Savalou,8.5397,2.17185,250.0,2018,Adduction d'eau villageoise,Immergee solaire,71.6,13.5,5.67,Potable,75.0,328,580.0,4,Delegataire prive,Au volume,1000.0,0,1,35.8,Commune,ENT-024,1,44.0,6.0,Aucune,0.0,fonctionnel
PE-007660,2025-06-07,Zou,Zangnanado,7.55824,2.29966,296.0,1999,Adduction d'eau villageoise,Immergee solaire,68.0,25.2,5.04,Ferrugineuse,64.0,333,140.0,2,Comite de gestion villageois,Au volume,240.0,1,0,26.6,Commune,ENT-016,1,6.0,73.0,Abandon,200000.0,en panne
PE-000132,2025-02-09,Couffo,Aplahoue,7.18281,1.60947,144.3,2009,Puits traditionnel ameliore,Aucune (puisage manuel),35.3,,1.74,Ferrugineuse,101.0,356,800.0,6,Delegataire prive,Au volume,1230.0,0,0,37.9,Cooperation bilaterale,ENT-039,3,16.0,49.0,Rehabilitation lourde,1474000.0,en panne
PE-002513,2025-11-02,Donga,Bassila,9.14574,1.28295,,1998,Puits moderne,Aucune (puisage manuel),48.8,22.7,4.52,Potable,47.0,224,740.0,1,Comite de gestion villageois,Cotisation annuelle,920.0,0,0,11.1,Cooperation bilaterale,ENT-012,2,11.0,2.0,Aucune,0.0,fonctionnel
PE-004298,2025-11-09,Zou,Djidja,7.40882,2.02591,125.1,2010,Poste d'eau autonome,Immergee solaire,89.8,53.3,2.91,Potable,39.0,233,130.0,3,Gestion communale,Cotisation annuelle,220.0,1,0,14.2,Etat,ENT-035,0,2.0,2.0,Aucune,0.0,fonctionnel
PE-001151,2025-08-03,Donga,Ouake,9.91812,1.52131,120.0,2015,Forage equipe PMH,India Mark II,50.5,12.5,1.99,Potable,44.0,254,250.0,3,Aucune gestion formelle,Gratuit,0.0,1,1,27.5,Etat,ENT-045,1,3.0,8.0,Reparation legere,159000.0,fonctionnel a reparer
PE-009281,2025-09-24,Mono,Bopa,6.44337,2.20045,113.4,2013,Adduction d'eau villageoise,Immergee electrique,66.3,17.8,4.42,Potable,96.0,512,410.0,7,Delegataire prive,Au volume,880.0,1,1,16.2,ONG internationale,ENT-029,2,13.0,2.0,Aucune,0.0,fonctionnel
PE-005611,2025-11-20,Atlantique,Toffo,6.69179,1.73518,160.5,2003,Puits moderne,Aucune (puisage manuel),16.3,4.5,,Turbide,84.0,395,2460.0,3,Comite de gestion villageois,Cotisation annuelle,480.0,1,1,22.0,ONG internationale,ENT-045,1,,0.0,Aucune,0.0,fonctionnel
PE-000672,2025-04-28,Zou,Cove,7.60811,2.27482,135.2,2012,Poste d'eau autonome,Immergee thermique,101.7,56.4,7.59,Potable,54.0,308,500.0,10,Aucune gestion formelle,Gratuit,0.0,0,1,76.5,Cooperation bilaterale,ENT-018,2,21.0,211.0,Rehabilitation lourde,973000.0,en panne
PE-003550,2025-09-25,Collines,Glazoue,8.59442,2.10611,68.6,2022,Forage equipe PMH,India Mark II,99.1,31.3,2.2,Potable,49.0,274,60.0,3,Aucune gestion formelle,Gratuit,0.0,0,0,19.3,Etat,ENT-017,1,59.0,216.0,Rehabilitation lourde,411000.0,en panne
PE-000051,2025-11-20,Borgou,N'Dali,9.22114,2.80126,214.9,2021,Poste d'eau autonome,Immergee electrique,49.0,6.2,1.87,Turbide,212.0,897,280.0,1,Gestion communale,Gratuit,0.0,1,0,26.7,ONG internationale,ENT-008,0,7.0,12.0,Aucune,0.0,fonctionnel
PE-004190,2025-10-27,  Donga,Copargo,9.49292,1.52301,328.3,2021,Forage equipe PMH,Volanta,89.2,,0.95,Turbide,34.0,168,520.0,4,Comite de gestion villageois,Cotisation annuelle,400.0,0,0,37.6,Etat,ENT-049,0,15.0,2.0,Aucune,0.0,fonctionnel
PE-005390,2025-02-08,Zou,Zogbodomey,7.10809,1.96717,185.6,2013,Forage equipe PMH,India Mark II,57.3,16.4,2.81,Turbide,107.0,733,560.0,2,Gestion communale,Au volume,500.0,0,1,26.9,ONG internationale,ENT-042,2,9.0,2.0,Aucune,0.0,fonctionnel
PE-002141,2025-09-01,Borgou,Bembereke,10.01444,3.17107,32.0,2009,Forage equipe PMH,Volanta,58.6,13.9,1.12,,89.0,474,770.0,2,Comite de gestion villageois,Cotisation annuelle,570.0,0,1,58.9,Cooperation bilaterale,ENT-003,2,52.0,141.0,Remplacement de pompe,792000.0,en panne
PE-007612,2025-09-18,Donga,Ouake,9.79636,1.06109,110.2,1992,Puits moderne,Aucune (puisage manuel),5.0,1.0,,Potable,102.0,659,110.0,2,Comite de gestion villageois,Au volume,340.0,1,0,21.0,Etat,ENT-038,1,6.0,6.0,Aucune,0.0,fonctionnel
PE-003386,2025-05-10,Plateau,Adja-Ouere,7.26643,2.17575,3.0,1998,Forage equipe PMH,Vergnet,64.3,29.2,4.54,Potable,28.0,169,220.0,4,Delegataire prive,Au volume,110.0,1,1,11.2,Commune,ENT-018,2,8.0,0.0,Aucune,0.0,fonctionnel
PE-000904,2025-05-07,Couffo,Dogbo,6.50491,1.64541,295.3,0,Poste d'eau autonome,Immergee electrique,63.8,42.9,1.94,Potable,22.0,96,190.0,1,Comite de gestion villageois,Au volume,80.0,0,1,35.1,Commune,ENT-003,3,20.0,271.0,Abandon,466000.0,en panne
PE-001568,2025-05-18,Couffo,Lalo,7.2124,1.81627,80.8,1997,Puits traditionnel ameliore,Aucune (puisage manuel),23.9,5.4,0.89,Ferrugineuse,107.0,728,760.0,4,Gestion communale,Gratuit,0.0,0,0,7.4,Etat,ENT-002,4,48.0,227.0,Rehabilitation lourde,1473000.0,en panne
PE-005387,2025-02-10,Atlantique,Ze,6.5809,2.53533,130.2,2016,Puits moderne,Aucune (puisage manuel),5.0,1.0,0.82,Potable,32.0,145,310.0,2,Comite de gestion villageois,Au volume,90.0,0,0,16.1,Cooperation bilaterale,ENT-006,0,22.0,2.0,Aucune,0.0,fonctionnel
PE-004081,2025-04-18,Atlantique,Allada,6.89169,2.21831,370.6,2022,Adduction d'eau villageoise,Immergee solaire,19.6,3.6,2.96,Potable,29.0,117,1510.0,8,Delegataire prive,Au volume,540.0,0,0,43.3,Etat,ENT-045,1,4.0,3.0,Aucune,0.0,fonctionnel
PE-004543,2025-01-22,Atacora,Materi,11.27397,1.87122,203.5,2012,Puits traditionnel ameliore,Aucune (puisage manuel),5.0,1.0,4.69,Turbide,120.0,688,230.0,3,Aucune gestion formelle,Gratuit,0.0,0,0,7.4,Association villageoise,ENT-031,1,18.0,341.0,Rehabilitation lourde,767000.0,en panne
PE-009690,2025-11-03,Couffo,Djakotomey,7.19017,2.32469,92.3,1986,Puits traditionnel ameliore,Aucune (puisage manuel),26.3,13.8,2.79,Turbide,110.0,685,20.0,5,Comite de gestion villageois,Au volume,500.0,1,0,22.5,ONG internationale,ENT-039,4,4.0,45.0,Rehabilitation lourde,1554000.0,en panne
PE-006030,2025-05-02,Zou,Ouinhi,7.07314,2.08106,218.4,2001,Puits traditionnel ameliore,Aucune (puisage manuel),5.0,1.0,1.04,Potable,60.0,294,500.0,3,Comite de gestion villageois,Cotisation annuelle,570.0,1,0,32.2,Cooperation bilaterale,ENT-022,1,8.0,53.0,Reparation legere,78000.0,fonctionnel a reparer
PE-010734,2025-05-01,Atlantique,Allada,6.26523,2.36874,94.7,2008,Adduction d'eau villageoise,Immergee solaire,55.5,10.5,1.32,Fluoree,110.0,494,680.0,6,Aucune gestion formelle,Gratuit,0.0,0,1,13.4,Commune,ENT-032,1,,9.0,Reparation legere,127000.0,fonctionnel a reparer
PE-000305,2025-04-15,  Atacora,Boukoumbe,10.53173,1.48605,178.8,1989,Puits traditionnel ameliore,India Mark II,12.9,7.7,3.86,Potable,127.0,569,700.0,1,Comite de gestion villageois,Gratuit,0.0,0,0,63.8,Commune,ENT-024,6,3.0,46.0,Remplacement de pompe,749000.0,en panne
PE-007168,2025-09-20,Atacora,Materi,10.40173,1.01147,179.0,2003,Puits moderne,Aucune (puisage manuel),5.0,2.3,0.15,Potable,18.0,124,1270.0,3,Comite de gestion villageois,Au volume,110.0,0,0,46.7,Etat,ENT-030,0,5.0,2.0,Aucune,0.0,fonctionnel
PE-006475,2025-05-02,Borgou,Sinende,9.92439,2.54439,302.9,1992,Puits traditionnel ameliore,India Mark II,50.8,24.7,1.83,Turbide,,114,200.0,2,Gestion communale,Au volume,600.0,0,0,30.7,Cooperation bilaterale,ENT-016,2,33.0,127.0,Remplacement de pompe,535000.0,en panne
PE-008284,2025-02-17,Oueme,Adjohoun,6.38737,2.75824,124.4,1990,Poste d'eau autonome,Immergee solaire,70.9,20.7,0.63,Ferrugineuse,36.0,181,170.0,2,Comite de gestion villageois,Gratuit,0.0,0,0,58.7,Etat,ENT-047,0,36.0,90.0,Abandon,1916000.0,en panne
PE-006794,2025-11-17,Atlantique,So-Ava,6.35104,2.69287,67.3,1987,Poste d'eau autonome,Immergee solaire,63.9,22.7,2.2,Potable,42.0,226,110.0,2,Delegataire prive,Au volume,820.0,0,0,11.7,Association villageoise,ENT-024,1,66.0,2.0,Aucune,0.0,fonctionnel
PE-003119,2025-03-14,Atacora,Materi,10.37231,1.59022,200.1,1983,Forage equipe PMH,India Mark II,81.8,41.9,2.21,,119.0,558,190.0,4,Gestion communale,Cotisation annuelle,450.0,1,1,9.1,ONG internationale,ENT-006,1,11.0,21.0,Remplacement de pieces,255000.0,fonctionnel a reparer
PE-008788,2025-04-04,Couffo,Klouekanme,7.06708,1.66924,70.8,2002,Poste d'eau autonome,Immergee solaire,91.1,47.6,2.55,Potable,122.0,666,590.0,3,Comite de gestion villageois,Au volume,1150.0,0,0,22.4,Etat,ENT-025,3,24.0,1.0,Aucune,0.0,fonctionnel
PE-007856,2025-04-22,Plateau,Adja-Ouere,7.1814,2.77848,127.4,2011,Poste d'eau autonome,Immergee electrique,48.0,,5.41,Potable,129.0,1016,890.0,2,Delegataire prive,Au volume,450.0,1,0,29.0,Commune,ENT-008,0,6.0,14.0,Aucune,0.0,fonctionnel
PE-005009,2025-06-30,  Atacora,Natitingou,10.89977,1.2869,194.5,2014,Adduction d'eau villageoise,Immergee thermique,82.1,24.9,1.09,Potable,43.0,303,1700.0,3,Delegataire prive,Au volume,1110.0,1,1,23.2,Association villageoise,ENT-045,1,3.0,0.0,Aucune,0.0,fonctionnel
PE-006566,2025-05-01,Zou,Bohicon,6.89549,2.39029,99.2,1994,Forage equipe PMH,Volanta,101.7,18.5,4.34,Potable,114.0,549,650.0,2,Gestion communale,Au volume,1080.0,0,0,11.0,Etat,ENT-047,2,23.0,0.0,Aucune,0.0,fonctionnel
PE-000533,2025-09-09,Plateau,Ketou,7.32572,2.58295,196.7,1996,Forage equipe PMH,India Mark II,53.8,15.6,5.67,,123.0,755,950.0,3,Comite de gestion villageois,Cotisation annuelle,340.0,0,0,34.1,Commune,ENT-028,1,9.0,3.0,Aucune,0.0,fonctionnel
PE-009440,2025-07-28,Plateau,Sakete,7.20395,2.97116,271.9,1997,Poste d'eau autonome,Immergee solaire,94.9,36.4,2.44,Saumatre,46.0,292,150.0,5,Comite de gestion villageois,Au volume,60.0,1,0,39.3,Cooperation bilaterale,ENT-035,2,,13.0,Reparation legere,372000.0,fonctionnel a reparer
PE-006666,2025-05-27,Couffo,Lalo,6.86427,1.26397,210.5,0,Adduction d'eau villageoise,Immergee solaire,65.3,23.2,3.06,Potable,66.0,319,790.0,3,Comite de gestion villageois,Cotisation annuelle,1080.0,1,0,8.0,Cooperation bilaterale,ENT-032,3,6.0,17.0,Aucune,0.0,fonctionnel
PE-008318,2025-03-05,Atlantique,So-Ava,6.44036,2.24846,113.9,2002,Poste d'eau autonome,Immergee solaire,93.2,32.9,7.62,Potable,147.0,932,450.0,4,Comite de gestion villageois,Gratuit,0.0,1,1,19.2,ONG internationale,ENT-024,1,2.0,5.0,Aucune,0.0,fonctionnel
PE-009271,2025-05-31,Couffo,Djakotomey,6.87609,1.48936,202.0,0,Forage equipe PMH,Vergnet,99.6,67.0,3.49,Potable,161.0,1061,140.0,1,Gestion communale,Gratuit,0.0,0,0,2.7,ONG internationale,ENT-041,2,10.0,4.0,Aucune,0.0,fonctionnel
PE-009073,2025-03-05,Zou,ABOMEY,7.09717,2.12116,97.7,0,Forage equipe PMH,Vergnet,59.1,17.4,4.43,Potable,72.0,355,490.0,3,Comite de gestion villageois,Cotisation annuelle,410.0,0,0,41.0,Association villageoise,ENT-035,0,25.0,1.0,Aucune,0.0,fonctionnel
PE-008729,2025-10-21,Borgou,Bembereke,10.31425,2.59983,258.3,2003,Puits traditionnel ameliore,Aucune (puisage manuel),12.8,2.6,5.77,Saumatre,62.0,277,370.0,5,Gestion communale,Cotisation annuelle,650.0,1,0,9.6,Association villageoise,ENT-052,3,,9.0,Reparation legere,259000.0,fonctionnel a reparer
PE-001784,2025-06-19,Borgou,Nikki,9.88837,2.282,101.5,2022,Forage equipe PMH,India Mark II,39.4,10.4,5.44,Turbide,9.0,47,510.0,2,Aucune gestion formelle,Gratuit,0.0,0,1,63.2,Etat,ENT-008,1,20.0,176.0,Rehabilitation lourde,695000.0,en panne
PE-003870,2025-09-26,Oueme,Avrankou,6.04232,2.65693,188.5,2003,Puits moderne,India Mark II,10.9,1.5,2.89,Potable,8.0,51,220.0,3,Aucune gestion formelle,Gratuit,,0,1,11.4,Commune,ENT-042,0,7.0,6.0,Reparation legere,171000.0,fonctionnel a reparer
PE-000602,2025-03-03,Borgou,Tchaourou,9.63034,2.6257,337.5,1982,Forage equipe PMH,Volanta,43.3,,6.01,Potable,91.0,461,440.0,2,Comite de gestion villageois,Gratuit,0.0,0,1,42.7,Cooperation bilaterale,ENT-039,0,54.0,262.0,Rehabilitation lourde,1285000.0,en panne
PE-004410,2025-02-21,Zou,Zogbodomey,6.75931,2.15039,125.9,1996,Forage equipe PMH,India Mark II,38.8,30.2,4.4,Turbide,45.0,261,560.0,4,Comite de gestion villageois,Au volume,510.0,1,0,40.4,Prive,ENT-035,0,9.0,2.0,Aucune,0.0,fonctionnel
PE-008472,2025-11-07,Borgou,Sinende,10.27426,2.50775,11.2,2010,Poste d'eau autonome,Immergee solaire,55.1,14.9,3.22,Ferrugineuse,31.0,118,470.0,3,Delegataire prive,Au volume,1300.0,0,1,16.4,ONG internationale,ENT-041,1,,2.0,Aucune,0.0,fonctionnel
PE-000694,2025-06-11,Atacora,Natitingou,11.03565,1.70907,157.9,2016,Poste d'eau autonome,Immergee solaire,36.3,2.3,0.74,Potable,101.0,429,610.0,5,Comite de gestion villageois,Cotisation annuelle,700.0,0,1,32.5,Commune,ENT-010,1,33.0,365.0,Remplacement de pompe,1072000.0,en panne
PE-007910,2025-03-16,Oueme,Bonou,6.39372,2.0583,229.7,2022,Puits moderne,Aucune (puisage manuel),10.7,5.7,1.65,Potable,322.0,1952,460.0,7,Comite de gestion villageois,Cotisation annuelle,930.0,0,1,23.1,Prive,ENT-040,0,19.0,1.0,Aucune,0.0,fonctionnel
PE-009828,2025-05-07,Donga,Bassila,9.23697,0.95666,191.2,1996,Forage equipe PMH,Vergnet,36.7,,5.09,Potable,55.0,284,810.0,2,Comite de gestion villageois,Au volume,300.0,0,1,11.4,ONG internationale,ENT-041,5,25.0,37.0,Reparation legere,285000.0,fonctionnel a reparer
PE-003223,2025-05-06,Collines,Dassa-Zoume,8.91412,2.01971,330.5,2014,Forage equipe PMH,Volanta,104.2,38.3,1.96,Turbide,111.0,761,150.0,4,Comite de gestion villageois,Cotisation annuelle,310.0,0,0,56.4,Association villageoise,ENT-034,1,6.0,228.0,Rehabilitation lourde,200000.0,en panne
PE-003471,2025-06-23,Donga,Djougou,9.4901,1.43725,292.8,1991,Forage equipe PMH,India Mark II,65.5,16.6,,Potable,24.0,157,870.0,4,Comite de gestion villageois,Au volume,590.0,0,1,25.7,Prive,ENT-029,3,8.0,1.0,Aucune,0.0,fonctionnel
PE-003077,2025-08-01,Couffo,DJAKOTOMEY,7.70018,1.6953,185.1,1997,Poste d'eau autonome,Immergee solaire,34.6,15.8,2.99,Potable,62.0,308,680.0,4,Gestion communale,Au volume,940.0,0,0,23.1,Cooperation bilaterale,ENT-027,0,,3.0,Aucune,0.0,fonctionnel
PE-005827,2025-07-02,Atacora,Natitingou,10.76617,1.57434,206.3,2002,Adduction d'eau villageoise,Immergee solaire,66.2,30.1,3.64,Potable,120.0,734,170.0,2,Aucune gestion formelle,Gratuit,0.0,0,1,11.4,Cooperation bilaterale,ENT-039,3,34.0,215.0,Rehabilitation lourde,818000.0,en panne
PE-011380,2025-06-21,Zou,Zangnanado,7.23671,1.96331,270.4,2003,Forage equipe PMH,India Mark II,57.7,7.9,5.98,Potable,5.0,30,630.0,1,Comite de gestion villageois,Cotisation annuelle,280.0,0,0,50.2,Cooperation bilaterale,ENT-023,1,6.0,365.0,Remplacement de pompe,346000.0,en panne
PE-011106,2025-08-01,Borgou,Kalale,10.27116,2.87366,115.1,2004,Forage equipe PMH,Vergnet,62.9,34.0,,Ferrugineuse,69.0,470,250.0,2,Comite de gestion villageois,Gratuit,0.0,0,1,20.5,Commune,ENT-050,2,54.0,158.0,Rehabilitation lourde,614000.0,en panne
PE-009985,2025-07-29,Couffo,Djakotomey,6.99804,1.16786,82.0,1993,Forage equipe PMH,India Mark II,47.3,11.2,1.44,Potable,110.0,446,260.0,3,Comite de gestion villageois,Gratuit,0.0,0,1,8.9,Commune,ENT-011,0,11.0,0.0,Aucune,0.0,fonctionnel
PE-004950,2025-03-12,Atlantique,So-Ava,6.75353,2.60829,145.2,0,Forage equipe PMH,Kardia,45.3,11.7,6.42,Potable,126.0,587,200.0,3,Comite de gestion villageois,Cotisation annuelle,160.0,0,0,20.9,Commune,ENT-036,1,27.0,3.0,Aucune,0.0,fonctionnel
PE-005408,2025-10-13,Borgou,Parakou,10.04635,2.81114,79.9,1995,Poste d'eau autonome,Immergee solaire,82.6,15.7,2.93,Potable,123.0,703,410.0,2,Comite de gestion villageois,Cotisation annuelle,490.0,0,0,47.8,Commune,ENT-010,0,12.0,3.0,Aucune,0.0,fonctionnel
PE-010330,2025-06-28,Mono,Lokossa,6.69589,2.23135,227.3,2013,Poste d'eau autonome,Immergee solaire,50.4,38.6,1.96,Potable,34.0,200,510.0,1,Gestion communale,Au volume,620.0,0,0,30.4,Etat,ENT-041,1,,13.0,Aucune,0.0,fonctionnel
PE-008718,2025-02-12,Plateau,Adja-Ouere,7.03937,2.3704,114.6,2009,Forage equipe PMH,Volanta,49.2,1.1,0.67,Potable,73.0,350,610.0,4,Comite de gestion villageois,Cotisation annuelle,370.0,0,1,7.6,Etat,ENT-024,0,73.0,3.0,Aucune,0.0,fonctionnel
PE-002566,2025-06-11,Plateau,Ifangni,6.79948,2.36783,394.5,2023,Forage equipe PMH,India Mark II,56.4,25.2,1.84,Fluoree,51.0,277,150.0,2,Comite de gestion villageois,Gratuit,0.0,0,0,5.9,Cooperation bilaterale,ENT-013,0,40.0,1.0,Aucune,0.0,fonctionnel
PE-011156,2025-06-26,Atlantique,Allada,6.10117,2.04591,119.2,2015,Puits traditionnel ameliore,Aucune (puisage manuel),29.3,4.5,2.56,,85.0,454,360.0,2,Comite de gestion villageois,Au volume,810.0,0,0,22.0,ONG internationale,ENT-040,3,3.0,239.0,Remplacement de pompe,1772000.0,en panne
PE-004274,2025-07-28,Mono,Houeyogbe,6.74805,1.77088,147.0,1991,Adduction d'eau villageoise,Immergee electrique,57.4,,3.44,Potable,55.0,279,1170.0,3,Comite de gestion villageois,Cotisation annuelle,1150.0,0,0,8.8,Association villageoise,ENT-033,3,5.0,222.0,Rehabilitation lourde,1460000.0,en panne
PE-007153,2025-01-18,Zou,Bohicon,7.30376,2.44738,209.7,2008,Forage equipe PMH,India Mark II,8050.0,33.2,6.89,Fluoree,40.0,162,1030.0,4,Comite de gestion villageois,Au volume,230.0,0,0,23.9,Cooperation bilaterale,ENT-012,0,10.0,2.0,Aucune,0.0,fonctionnel
PE-003575,2025-05-11,Couffo,Dogbo,6.99276,1.79282,,2019,Poste d'eau autonome,Immergee solaire,65.6,25.5,4.77,Ferrugineuse,23.0,84,250.0,2,Comite de gestion villageois,Au volume,680.0,0,0,6.9,Prive,ENT-041,0,,2.0,Aucune,0.0,fonctionnel
PE-009425,2025-01-18,Atlantique,Abomey-Calavi,6.45926,2.47652,16.2,2022,Adduction d'eau villageoise,Immergee solaire,57.2,,2.12,Ferrugineuse,41.0,203,550.0,9,Aucune gestion formelle,Gratuit,0.0,0,0,16.3,Commune,ENT-025,0,19.0,84.0,Remplacement de pompe,1293000.0,en panne
PE-001486,2025-07-02,Borgou,Parakou,9.71352,2.17046,,2019,Forage equipe PMH,India Mark II,55.0,18.8,5.14,Fluoree,61.0,389,560.0,4,Aucune gestion formelle,Gratuit,0.0,0,0,3.1,Commune,ENT-015,0,13.0,1.0,Aucune,0.0,fonctionnel
PE-002597,2025-10-16,Borgou,Bembereke,10.18155,2.71999,70.6,2000,Forage equipe PMH,India Mark II,17.3,,1.84,Ferrugineuse,126.0,778,320.0,2,Gestion communale,Au volume,400.0,0,1,18.7,ONG internationale,ENT-031,1,96.0,80.0,Remplacement de pompe,509000.0,en panne
PE-002003,2025-08-03,Couffo,Toviklin,7.25984,1.65096,213.1,1982,Forage equipe PMH,India Mark II,70.9,53.9,5.52,Turbide,69.0,308,750.0,4,Comite de gestion villageois,Gratuit,0.0,0,1,27.0,Commune,ENT-020,0,8.0,2.0,Aucune,0.0,fonctionnel
PE-000235,2025-08-28,Oueme,Adjarra,7.07485,2.21103,136.2,1984,Forage equipe PMH,Vergnet,91.2,44.8,1.39,Potable,121.0,921,1220.0,1,Comite de gestion villageois,Au volume,170.0,0,1,21.9,Commune,ENT-052,2,,85.0,Rehabilitation lourde,1523000.0,en panne
